time,sea_water_practical_salinity_ctd,sea_water_practical_salinity_ctd_qc_agg,z
UTC,1e-3,,m
2022-01-04T04:18:09Z,30.5115,1,0.0
2022-01-04T04:18:12Z,NaN,2,0.0
2022-01-04T04:22:09Z,30.5036,1,0.0
2022-01-04T04:22:12Z,NaN,2,0.0
2022-01-04T04:26:09Z,30.5048,1,0.0
2022-01-04T04:26:12Z,NaN,2,0.0
2022-01-04T04:30:09Z,30.5063,1,0.0
2022-01-04T04:30:12Z,NaN,2,0.0
2022-01-04T04:34:09Z,30.5175,1,0.0
2022-01-04T04:34:12Z,NaN,2,0.0
2022-01-04T04:38:09Z,30.5192,1,0.0
2022-01-04T04:38:12Z,NaN,2,0.0
2022-01-04T04:42:09Z,30.5022,1,0.0
2022-01-04T04:42:12Z,NaN,2,0.0
2022-01-04T04:46:09Z,30.5327,1,0.0
2022-01-04T04:46:12Z,NaN,2,0.0
2022-01-04T04:50:09Z,30.5752,1,0.0
2022-01-04T04:50:12Z,NaN,2,0.0
2022-01-04T04:54:09Z,30.5882,1,0.0
2022-01-04T04:54:12Z,NaN,2,0.0
2022-01-04T04:58:09Z,30.5925,1,0.0
2022-01-04T04:58:12Z,NaN,2,0.0
2022-01-04T05:02:09Z,30.6092,1,0.0
2022-01-04T05:02:12Z,NaN,2,0.0
2022-01-04T05:06:09Z,30.6133,1,0.0
2022-01-04T05:06:12Z,NaN,2,0.0
2022-01-04T05:10:09Z,30.6099,1,0.0
2022-01-04T05:10:12Z,NaN,2,0.0
2022-01-04T05:14:09Z,30.619,1,0.0
2022-01-04T05:14:12Z,NaN,2,0.0
2022-01-04T05:18:09Z,30.6131,1,0.0
2022-01-04T05:18:12Z,NaN,2,0.0
2022-01-04T05:22:09Z,30.6116,1,0.0
2022-01-04T05:22:12Z,NaN,2,0.0
2022-01-04T05:26:09Z,30.6146,1,0.0
2022-01-04T05:26:12Z,NaN,2,0.0
2022-01-04T05:30:09Z,30.6027,1,0.0
2022-01-04T05:30:12Z,NaN,2,0.0
2022-01-04T05:34:09Z,30.5984,1,0.0
2022-01-04T05:34:12Z,NaN,2,0.0
2022-01-04T05:38:09Z,30.5857,1,0.0
2022-01-04T05:38:12Z,NaN,2,0.0
2022-01-04T05:42:09Z,30.6086,1,0.0
2022-01-04T05:42:12Z,NaN,2,0.0
2022-01-04T05:46:09Z,30.602,1,0.0
2022-01-04T05:46:12Z,NaN,2,0.0
2022-01-04T05:50:09Z,30.6118,1,0.0
2022-01-04T05:50:12Z,NaN,2,0.0
2022-01-04T05:54:09Z,30.5862,1,0.0
2022-01-04T05:54:12Z,NaN,2,0.0
2022-01-04T05:58:09Z,30.6177,1,0.0
2022-01-04T05:58:12Z,NaN,2,0.0
2022-01-04T06:02:09Z,30.6025,1,0.0
2022-01-04T06:02:12Z,NaN,2,0.0
2022-01-04T06:06:09Z,30.6058,1,0.0
2022-01-04T06:06:12Z,NaN,2,0.0
2022-01-04T06:10:09Z,30.6119,1,0.0
2022-01-04T06:10:12Z,NaN,2,0.0
2022-01-04T06:14:09Z,30.6144,1,0.0
2022-01-04T06:14:12Z,NaN,2,0.0
2022-01-04T06:18:09Z,30.6105,1,0.0
2022-01-04T06:18:12Z,NaN,2,0.0
2022-01-04T06:22:09Z,30.6113,1,0.0
2022-01-04T06:22:12Z,NaN,2,0.0
2022-01-04T06:26:09Z,30.609,1,0.0
2022-01-04T06:26:12Z,NaN,2,0.0
2022-01-04T06:30:09Z,30.6118,1,0.0
2022-01-04T06:30:12Z,NaN,2,0.0
2022-01-04T06:34:09Z,30.6148,1,0.0
2022-01-04T06:34:12Z,NaN,2,0.0
2022-01-04T06:38:09Z,30.6007,1,0.0
2022-01-04T06:38:12Z,NaN,2,0.0
2022-01-04T06:42:09Z,30.6084,1,0.0
2022-01-04T06:42:12Z,NaN,2,0.0
2022-01-04T06:46:09Z,30.6058,1,0.0
2022-01-04T06:46:12Z,NaN,2,0.0
2022-01-04T06:50:09Z,30.5824,1,0.0
2022-01-04T06:50:12Z,NaN,2,0.0
2022-01-04T06:54:09Z,30.5907,1,0.0
2022-01-04T06:54:12Z,NaN,2,0.0
2022-01-04T06:58:09Z,30.6092,1,0.0
2022-01-04T06:58:12Z,NaN,2,0.0
2022-01-04T07:02:09Z,30.6198,1,0.0
2022-01-04T07:02:12Z,NaN,2,0.0
2022-01-04T07:06:09Z,30.5958,1,0.0
2022-01-04T07:06:12Z,NaN,2,0.0
2022-01-04T07:10:09Z,30.6013,1,0.0
2022-01-04T07:10:12Z,NaN,2,0.0
2022-01-04T07:14:09Z,30.6002,1,0.0
2022-01-04T07:14:12Z,NaN,2,0.0
2022-01-04T07:18:09Z,30.6024,1,0.0
2022-01-04T07:18:12Z,NaN,2,0.0
2022-01-04T07:22:09Z,30.6028,1,0.0
2022-01-04T07:22:12Z,NaN,2,0.0
2022-01-04T07:26:09Z,30.6066,1,0.0
2022-01-04T07:26:12Z,NaN,2,0.0
2022-01-04T07:30:09Z,30.5963,1,0.0
2022-01-04T07:30:12Z,NaN,2,0.0
2022-01-04T07:34:09Z,30.5828,1,0.0
2022-01-04T07:34:12Z,NaN,2,0.0
2022-01-04T07:38:09Z,30.5877,1,0.0
2022-01-04T07:38:12Z,NaN,2,0.0
2022-01-04T07:42:09Z,30.5825,1,0.0
2022-01-04T07:42:12Z,NaN,2,0.0
2022-01-04T07:46:09Z,30.5908,1,0.0
2022-01-04T07:46:12Z,NaN,2,0.0
2022-01-04T07:50:09Z,30.5919,1,0.0
2022-01-04T07:50:12Z,NaN,2,0.0
2022-01-04T07:54:09Z,30.5719,1,0.0
2022-01-04T07:54:12Z,NaN,2,0.0
2022-01-04T07:58:09Z,30.5971,1,0.0
2022-01-04T07:58:12Z,NaN,2,0.0
2022-01-04T08:02:09Z,30.5905,1,0.0
2022-01-04T08:02:12Z,NaN,2,0.0
2022-01-04T08:06:09Z,30.601,1,0.0
2022-01-04T08:06:12Z,NaN,2,0.0
2022-01-04T08:10:09Z,30.6136,1,0.0
2022-01-04T08:10:12Z,NaN,2,0.0
2022-01-04T08:14:09Z,30.6135,1,0.0
2022-01-04T08:14:12Z,NaN,2,0.0
2022-01-04T08:18:09Z,30.6098,1,0.0
2022-01-04T08:18:12Z,NaN,2,0.0
2022-01-04T08:22:09Z,30.599,1,0.0
2022-01-04T08:22:12Z,NaN,2,0.0
2022-01-04T08:26:09Z,30.5962,1,0.0
2022-01-04T08:26:12Z,NaN,2,0.0
2022-01-04T08:30:09Z,30.5955,1,0.0
2022-01-04T08:30:12Z,NaN,2,0.0
2022-01-04T08:34:09Z,30.6,1,0.0
2022-01-04T08:34:12Z,NaN,2,0.0
2022-01-04T08:38:09Z,30.5965,1,0.0
2022-01-04T08:38:12Z,NaN,2,0.0
2022-01-04T08:42:09Z,30.6057,1,0.0
2022-01-04T08:42:12Z,NaN,2,0.0
2022-01-04T08:46:09Z,30.612,1,0.0
2022-01-04T08:46:12Z,NaN,2,0.0
2022-01-04T08:50:09Z,30.6084,1,0.0
2022-01-04T08:50:12Z,NaN,2,0.0
2022-01-04T08:54:09Z,30.6096,1,0.0
2022-01-04T08:54:12Z,NaN,2,0.0
2022-01-04T08:58:09Z,30.6017,1,0.0
2022-01-04T08:58:12Z,NaN,2,0.0
2022-01-04T09:02:09Z,30.6021,1,0.0
2022-01-04T09:02:12Z,NaN,2,0.0
2022-01-04T09:06:09Z,30.5886,1,0.0
2022-01-04T09:06:12Z,NaN,2,0.0
2022-01-04T09:10:09Z,30.5805,1,0.0
2022-01-04T09:10:12Z,NaN,2,0.0
2022-01-04T09:14:09Z,30.5878,1,0.0
2022-01-04T09:14:12Z,NaN,2,0.0
2022-01-04T09:18:09Z,30.5673,1,0.0
2022-01-04T09:18:12Z,NaN,2,0.0
2022-01-04T09:22:09Z,30.5702,1,0.0
2022-01-04T09:22:12Z,NaN,2,0.0
2022-01-04T09:26:09Z,30.5668,1,0.0
2022-01-04T09:26:12Z,NaN,2,0.0
2022-01-04T09:30:09Z,30.5561,1,0.0
2022-01-04T09:30:12Z,NaN,2,0.0
2022-01-04T09:34:09Z,30.5663,1,0.0
2022-01-04T09:34:12Z,NaN,2,0.0
2022-01-04T09:38:09Z,30.5697,1,0.0
2022-01-04T09:38:12Z,NaN,2,0.0
2022-01-04T09:42:09Z,30.5777,1,0.0
2022-01-04T09:42:12Z,NaN,2,0.0
2022-01-04T09:46:09Z,30.567,1,0.0
2022-01-04T09:46:12Z,NaN,2,0.0
2022-01-04T09:50:09Z,30.5558,1,0.0
2022-01-04T09:50:12Z,NaN,2,0.0
2022-01-04T09:54:09Z,30.5728,1,0.0
2022-01-04T09:54:12Z,NaN,2,0.0
2022-01-04T09:58:09Z,30.5742,1,0.0
2022-01-04T09:58:12Z,NaN,2,0.0
2022-01-04T10:02:09Z,30.5698,1,0.0
2022-01-04T10:02:12Z,NaN,2,0.0
2022-01-04T10:06:09Z,30.5522,1,0.0
2022-01-04T10:06:12Z,NaN,2,0.0
2022-01-04T10:10:09Z,30.5647,1,0.0
2022-01-04T10:10:12Z,NaN,2,0.0
2022-01-04T10:14:09Z,30.5573,1,0.0
2022-01-04T10:14:12Z,NaN,2,0.0
2022-01-04T10:18:09Z,30.5594,1,0.0
2022-01-04T10:18:12Z,NaN,2,0.0
2022-01-04T10:22:09Z,30.5495,1,0.0
2022-01-04T10:22:12Z,NaN,2,0.0
2022-01-04T10:26:09Z,30.574,1,0.0
2022-01-04T10:26:12Z,NaN,2,0.0
2022-01-04T10:30:09Z,30.5758,1,0.0
2022-01-04T10:30:12Z,NaN,2,0.0
2022-01-04T10:34:09Z,30.5737,1,0.0
2022-01-04T10:34:12Z,NaN,2,0.0
2022-01-04T10:38:09Z,30.5637,1,0.0
2022-01-04T10:38:12Z,NaN,2,0.0
2022-01-04T10:42:09Z,30.5614,1,0.0
2022-01-04T10:42:12Z,NaN,2,0.0
2022-01-04T10:46:09Z,30.5761,1,0.0
2022-01-04T10:46:12Z,NaN,2,0.0
2022-01-04T10:50:09Z,30.5735,1,0.0
2022-01-04T10:50:12Z,NaN,2,0.0
2022-01-04T10:54:09Z,30.5796,1,0.0
2022-01-04T10:54:12Z,NaN,2,0.0
2022-01-04T10:58:09Z,30.5675,1,0.0
2022-01-04T10:58:12Z,NaN,2,0.0
2022-01-04T11:02:09Z,30.5862,1,0.0
2022-01-04T11:02:12Z,NaN,2,0.0
2022-01-04T11:06:09Z,30.5706,1,0.0
2022-01-04T11:06:12Z,NaN,2,0.0
2022-01-04T11:10:09Z,30.5616,1,0.0
2022-01-04T11:10:12Z,NaN,2,0.0
2022-01-04T11:14:09Z,30.5689,1,0.0
2022-01-04T11:14:12Z,NaN,2,0.0
2022-01-04T11:18:09Z,30.5637,1,0.0
2022-01-04T11:18:12Z,NaN,2,0.0
2022-01-04T11:22:09Z,30.5593,1,0.0
2022-01-04T11:22:12Z,NaN,2,0.0
2022-01-04T11:26:09Z,30.5614,1,0.0
2022-01-04T11:26:12Z,NaN,2,0.0
2022-01-04T11:30:09Z,30.5576,1,0.0
2022-01-04T11:30:12Z,NaN,2,0.0
2022-01-04T11:34:09Z,30.5577,1,0.0
2022-01-04T11:34:12Z,NaN,2,0.0
2022-01-04T11:38:09Z,30.5662,1,0.0
2022-01-04T11:38:12Z,NaN,2,0.0
2022-01-04T11:42:09Z,30.571,1,0.0
2022-01-04T11:42:12Z,NaN,2,0.0
2022-01-04T11:46:09Z,30.5785,1,0.0
2022-01-04T11:46:12Z,NaN,2,0.0
2022-01-04T11:50:09Z,30.5351,1,0.0
2022-01-04T11:50:12Z,NaN,2,0.0
2022-01-04T11:54:09Z,30.5455,1,0.0
2022-01-04T11:54:12Z,NaN,2,0.0
2022-01-04T11:58:09Z,30.5604,1,0.0
2022-01-04T11:58:12Z,NaN,2,0.0
2022-01-04T12:02:09Z,30.5432,1,0.0
2022-01-04T12:02:12Z,NaN,2,0.0
2022-01-04T12:06:09Z,30.5395,1,0.0
2022-01-04T12:06:12Z,NaN,2,0.0
2022-01-04T12:10:09Z,30.5468,1,0.0
2022-01-04T12:10:12Z,NaN,2,0.0
2022-01-04T12:14:09Z,30.5414,1,0.0
2022-01-04T12:14:12Z,NaN,2,0.0
2022-01-04T12:18:09Z,30.5496,1,0.0
2022-01-04T12:18:12Z,NaN,2,0.0
2022-01-04T12:22:09Z,30.5501,1,0.0
2022-01-04T12:22:12Z,NaN,2,0.0
2022-01-04T12:26:09Z,30.5567,1,0.0
2022-01-04T12:26:12Z,NaN,2,0.0
2022-01-04T12:30:09Z,30.5521,1,0.0
2022-01-04T12:30:12Z,NaN,2,0.0
2022-01-04T12:34:09Z,30.5566,1,0.0
2022-01-04T12:34:12Z,NaN,2,0.0
2022-01-04T12:38:09Z,30.5604,1,0.0
2022-01-04T12:38:12Z,NaN,2,0.0
2022-01-04T12:42:09Z,30.5417,1,0.0
2022-01-04T12:42:12Z,NaN,2,0.0
2022-01-04T12:46:09Z,30.5399,1,0.0
2022-01-04T12:46:12Z,NaN,2,0.0
2022-01-04T12:50:09Z,30.538,1,0.0
2022-01-04T12:50:12Z,NaN,2,0.0
2022-01-04T12:54:09Z,30.5428,1,0.0
2022-01-04T12:54:12Z,NaN,2,0.0
2022-01-04T12:58:09Z,30.5582,1,0.0
2022-01-04T12:58:12Z,NaN,2,0.0
2022-01-04T13:02:09Z,30.5651,1,0.0
2022-01-04T13:02:12Z,NaN,2,0.0
2022-01-04T13:06:09Z,30.5521,1,0.0
2022-01-04T13:06:12Z,NaN,2,0.0
2022-01-04T13:10:09Z,30.568,1,0.0
2022-01-04T13:10:12Z,NaN,2,0.0
2022-01-04T13:14:09Z,30.5637,1,0.0
2022-01-04T13:14:12Z,NaN,2,0.0
2022-01-04T13:18:09Z,30.5548,1,0.0
2022-01-04T13:18:12Z,NaN,2,0.0
2022-01-04T13:22:09Z,30.5609,1,0.0
2022-01-04T13:22:12Z,NaN,2,0.0
2022-01-04T13:26:09Z,30.5521,1,0.0
2022-01-04T13:26:12Z,NaN,2,0.0
2022-01-04T13:30:09Z,30.5768,1,0.0
2022-01-04T13:30:12Z,NaN,2,0.0
2022-01-04T13:34:09Z,30.5738,1,0.0
2022-01-04T13:34:12Z,NaN,2,0.0
2022-01-04T13:38:09Z,30.5808,1,0.0
2022-01-04T13:38:12Z,NaN,2,0.0
2022-01-04T13:42:09Z,30.5889,1,0.0
2022-01-04T13:42:12Z,NaN,2,0.0
2022-01-04T13:46:09Z,30.5798,1,0.0
2022-01-04T13:46:12Z,NaN,2,0.0
2022-01-04T13:50:09Z,30.5847,1,0.0
2022-01-04T13:50:12Z,NaN,2,0.0
2022-01-04T13:54:09Z,30.5723,1,0.0
2022-01-04T13:54:12Z,NaN,2,0.0
2022-01-04T13:58:09Z,30.5738,1,0.0
2022-01-04T13:58:12Z,NaN,2,0.0
2022-01-04T14:02:09Z,30.5757,1,0.0
2022-01-04T14:02:12Z,NaN,2,0.0
2022-01-04T14:06:09Z,30.5807,1,0.0
2022-01-04T14:06:12Z,NaN,2,0.0
2022-01-04T14:10:09Z,30.5712,1,0.0
2022-01-04T14:10:12Z,NaN,2,0.0
2022-01-04T14:14:09Z,30.5783,1,0.0
2022-01-04T14:14:12Z,NaN,2,0.0
2022-01-04T14:18:09Z,30.5693,1,0.0
2022-01-04T14:18:12Z,NaN,2,0.0
2022-01-04T14:22:09Z,30.5768,1,0.0
2022-01-04T14:22:12Z,NaN,2,0.0
2022-01-04T14:26:09Z,30.5712,1,0.0
2022-01-04T14:26:12Z,NaN,2,0.0
2022-01-04T14:30:09Z,30.5678,1,0.0
2022-01-04T14:30:12Z,NaN,2,0.0
2022-01-04T14:34:09Z,30.5652,1,0.0
2022-01-04T14:34:12Z,NaN,2,0.0
2022-01-04T14:38:09Z,30.5646,1,0.0
2022-01-04T14:38:12Z,NaN,2,0.0
2022-01-04T14:42:09Z,30.563,1,0.0
2022-01-04T14:42:12Z,NaN,2,0.0
2022-01-04T14:46:09Z,30.5696,1,0.0
2022-01-04T14:46:12Z,NaN,2,0.0
2022-01-04T14:50:09Z,30.562,1,0.0
2022-01-04T14:50:12Z,NaN,2,0.0
2022-01-04T14:54:09Z,30.5599,1,0.0
2022-01-04T14:54:12Z,NaN,2,0.0
2022-01-04T14:58:09Z,30.5572,1,0.0
