time,mass_concentration_of_chlorophyll_in_sea_water_ctd,mass_concentration_of_chlorophyll_in_sea_water_ctd_qc_agg,z
UTC,microg.L-1,,m
2021-09-16T21:10:25Z,3.21,1,0
2021-09-16T21:14:12Z,NaN,2,0
2021-09-16T21:14:25Z,3.19,1,0
2021-09-16T21:18:12Z,NaN,2,0
2021-09-16T21:18:25Z,3.24,1,0
2021-09-16T21:22:12Z,NaN,2,0
2021-09-16T21:22:25Z,3.24,1,0
2021-09-16T21:26:12Z,NaN,2,0
2021-09-16T21:26:25Z,3.19,1,0
2021-09-16T21:30:12Z,NaN,2,0
2021-09-16T21:30:25Z,3.18,1,0
2021-09-16T21:34:12Z,NaN,2,0
2021-09-16T21:34:25Z,3.22,1,0
2021-09-16T21:38:12Z,NaN,2,0
2021-09-16T21:38:25Z,3.22,1,0
2021-09-16T21:42:12Z,NaN,2,0
2021-09-16T21:42:25Z,3.2,1,0
2021-09-16T21:46:12Z,NaN,2,0
2021-09-16T21:46:25Z,3.2,1,0
2021-09-16T21:50:12Z,NaN,2,0
2021-09-16T21:50:25Z,3.24,1,0
2021-09-16T21:54:12Z,NaN,2,0
2021-09-16T21:54:25Z,3.22,1,0
2021-09-16T21:58:12Z,NaN,2,0
2021-09-16T21:58:25Z,3.21,1,0
2021-09-16T22:02:12Z,NaN,2,0
2021-09-16T22:02:25Z,3.26,1,0
2021-09-16T22:06:12Z,NaN,2,0
2021-09-16T22:06:25Z,3.25,1,0
2021-09-16T22:10:12Z,NaN,2,0
2021-09-16T22:10:25Z,3.22,1,0
2021-09-16T22:14:12Z,NaN,2,0
2021-09-16T22:14:25Z,3.24,1,0
2021-09-16T22:18:12Z,NaN,2,0
2021-09-16T22:18:25Z,3.25,1,0
2021-09-16T22:22:12Z,NaN,2,0
2021-09-16T22:22:25Z,3.31,1,0
2021-09-16T22:26:12Z,NaN,2,0
2021-09-16T22:26:25Z,3.34,1,0
2021-09-16T22:30:12Z,NaN,2,0
2021-09-16T22:30:25Z,3.33,1,0
2021-09-16T22:34:12Z,NaN,2,0
2021-09-16T22:34:25Z,3.29,1,0
2021-09-16T22:38:12Z,NaN,2,0
2021-09-16T22:38:25Z,3.39,1,0
2021-09-16T22:42:12Z,NaN,2,0
2021-09-16T22:42:25Z,3.37,1,0
2021-09-16T22:46:12Z,NaN,2,0
2021-09-16T22:46:25Z,3.42,1,0
2021-09-16T22:50:12Z,NaN,2,0
2021-09-16T22:50:25Z,3.44,1,0
2021-09-16T22:54:12Z,NaN,2,0
