#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 03 12 56 999 99.0 99.0  0.97 16.67 10.79 252 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 13 26 999 99.0 99.0  0.95 18.18 10.18 251 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 13 56 999 99.0 99.0  1.10 16.67 11.08 251 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 14 26 999 99.0 99.0  1.09 16.67 10.91 252 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 14 56 999 99.0 99.0  1.15 16.67 11.22 252 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 15 26 999 99.0 99.0  1.01 15.38  9.99 257 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 15 56 999 99.0 99.0  1.00 15.38 10.26 260 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 16 26 999 99.0 99.0  1.08 18.18 10.58 257 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 03 16 56 999 99.0 99.0  1.21 15.38 11.40 260 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 03 17 26 999 99.0 99.0  1.21 16.67 10.69 261 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 03 17 56 999 99.0 99.0  1.22 13.33 10.89 264 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 03 18 26 999 99.0 99.0  1.25 18.18 10.84 257 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 03 18 56 999 99.0 99.0  1.13 15.38 10.16 260 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 03 19 26 999 99.0 99.0  1.05 15.38  9.62 261 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 03 19 56 999 99.0 99.0  1.18 15.38 10.18 262 9999.0 999.0  15.6 999.0 99.0 99.00
2021 01 03 20 26 999 99.0 99.0  1.25 16.67 10.26 262 9999.0 999.0  15.6 999.0 99.0 99.00
2021 01 03 20 56 999 99.0 99.0  1.30 13.33 10.23 271 9999.0 999.0  15.7 999.0 99.0 99.00
2021 01 03 21 26 999 99.0 99.0  1.24 15.38 10.10 261 9999.0 999.0  15.6 999.0 99.0 99.00
2021 01 03 21 56 999 99.0 99.0  1.15 15.38  9.60 261 9999.0 999.0  15.6 999.0 99.0 99.00
2021 01 03 22 26 999 99.0 99.0  1.12 15.38 10.02 267 9999.0 999.0  15.6 999.0 99.0 99.00
2021 01 03 22 56 999 99.0 99.0  1.18 15.38 10.19 262 9999.0 999.0  15.6 999.0 99.0 99.00
2021 01 03 23 26 999 99.0 99.0  1.20 15.38 10.10 262 9999.0 999.0  15.6 999.0 99.0 99.00
2021 01 03 23 56 999 99.0 99.0  1.23 15.38 10.47 258 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 00 26 999 99.0 99.0  1.14 16.67 10.14 252 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 00 56 999 99.0 99.0  1.12 13.33  9.90 265 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 01 26 999 99.0 99.0  1.08 16.67  9.56 254 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 01 56 999 99.0 99.0  1.14 12.50  9.92 264 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 02 26 999 99.0 99.0  1.19 15.38 10.38 251 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 03 26 999 99.0 99.0  1.09 15.38  9.29 254 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 03 56 999 99.0 99.0  1.18 16.67  9.39 247 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 04 26 999 99.0 99.0  1.21 13.33  9.22 260 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 04 56 999 99.0 99.0  1.17 13.33  9.44 260 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 05 26 999 99.0 99.0  1.09 14.29  9.10 257 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 05 56 999 99.0 99.0  1.03 16.67  9.11 261 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 06 26 999 99.0 99.0  1.04 13.33  9.30 262 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 06 56 999 99.0 99.0  1.12 16.67  9.68 255 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 07 26 999 99.0 99.0  1.09 15.38  9.62 258 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 08 26 999 99.0 99.0  1.19 14.29  9.92 265 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 08 56 999 99.0 99.0  1.15 15.38  9.68 260 9999.0 999.0  15.4 999.0 99.0 99.00
